name,slug,created_at,updated_at,id
Miles Davis,miles-davis,2020-02-22 16:16:01.286023,2020-02-22 16:16:01.286023,39c2cd2d-8b91-439b-bf17-53026b1401a3
Elvis Presley,elvis-presley,2020-02-22 16:16:01.377856,2020-02-22 16:16:01.377856,1f98dde4-ce73-44fa-ba97-7b06133254e9
"Jerry Wexler, Bert Berns, Solomon Burke",jerry-wexler-bert-berns-solomon-burke,2020-02-22 16:16:01.485648,2020-02-22 16:16:01.485648,bfca103c-706f-4a7f-ab3e-8d0288735c19
"Braff, Gutwillig",braff-gutwillig,2020-02-22 16:16:01.532350,2020-02-22 16:16:01.532350,64c7f783-7464-4ead-a2f1-40432eae1580
Jimi Hendrix,jimi-hendrix,2020-02-22 16:16:01.674912,2020-02-22 16:16:01.674912,73887592-0836-4584-afe1-e38345f0e293
Charles Mingus,charles-mingus,2020-02-22 16:16:01.721403,2020-02-22 16:16:01.721403,d196a600-6e1f-4b2c-9e3b-c0ab86a0e6bf
Beethoven,beethoven,2020-02-22 16:16:01.767003,2020-02-22 16:16:01.767003,e0fcdf1c-18af-4418-b59c-bfd125619140
Michael Jackson,michael-jackson,2020-02-22 16:16:01.824506,2020-02-22 16:16:01.824506,1e73f465-549d-4a7b-88a6-7cfd6ed1fce6
Traditional,traditional,2020-02-22 16:16:01.940794,2020-02-22 16:16:01.940794,db72fcdf-43ee-471d-abe8-16c3fff66d82
John Williams,john-williams,2020-02-22 16:16:02.048615,2020-02-22 16:16:02.048615,273b8165-25e5-4b2a-afd0-65dd1ccb14b6
Pee Wee Ellis,pee-wee-ellis,2020-02-22 16:16:02.094542,2020-02-22 16:16:02.094542,a8701766-f852-41d3-9c34-ebe7fac2131d
Smashing Pumpkins,smashing-pumpkins,2020-02-22 16:16:02.204892,2020-02-22 16:16:02.204892,5658da2f-6398-4292-88e8-a5d656de0c5e
Marshall Tucker Band,marshall-tucker-band,2020-02-22 16:16:02.270053,2020-02-22 16:16:02.270053,a1242e85-df59-4684-bfff-0e73ac463be5
The Disco Biscuits/Fathead,the-disco-biscuits-fathead,2020-02-22 16:16:02.368700,2020-02-22 16:16:02.368700,48047908-c923-49ec-9836-d66edb82e02f
Bonnie Dobson,bonnie-dobson,2020-02-22 16:16:02.428960,2020-02-22 16:16:02.428960,32f745bc-afa6-4bc1-bb3c-e435bb4cd99a
