id,track_id,desc,created_at,updated_at
799d12fb-7f27-405b-b4a6-d47e3f404273,f2406f72-9f1d-447c-a284-833c7a228dbc,with 'Never Trust A Woman' (Grateful Dead) tease,2024-08-11 11:58:18.241244,2024-08-11 11:58:18.241244
ede81b8d-ad9e-4615-a566-ebfdaa8f74af,5e7555fc-a8e0-488c-9a9b-5a2918d22a69,with DJ Paul Norman on turntables,2024-08-11 11:58:42.572520,2024-08-11 11:58:42.572520
05afe295-3cd9-4b37-95cf-1a8ad201c6b7,45d7a932-cac0-4ef5-93d1-9d207ae9c946,FTP (tDB Original) ,2024-08-11 12:00:10.703206,2024-08-11 12:00:10.703206
e84b4976-026c-4759-8441-a0fe51e630b9,d3ef46a3-7031-4137-b179-c3cc17901df6,with Jon Gutwillig on guitar only,2024-07-15 22:13:38.541812,2024-07-15 22:13:38.541812
fca07ec4-e16f-4505-9ab0-a4e69edc4ca5,a8fe0925-f5fd-4ea7-9f5a-fba2605695e3,LTP 7/18/23 (70 shows),2024-07-15 22:37:22.739017,2024-07-15 22:37:22.739017
f86d783e-7078-44bc-9be9-69f03be271f1,94acff23-91ce-4ef9-b86d-3c10e1263c11,LTP 10/25/23 (51 shows),2024-07-15 22:38:20.472828,2024-07-15 22:38:20.472828
1d221e91-b0ed-4384-be38-1185e9e32ad8,45d7a932-cac0-4ef5-93d1-9d207ae9c946,with DJ Paul Norman on turntables,2024-08-11 12:00:10.732948,2024-08-11 12:00:10.732948
5a3aaca7-4483-4e19-8b66-8a7dd057b6d4,3bed3c22-e2c8-47ae-8f86-e7e1e5e30f58,FTP (as tDB; played as Tractorbeam 7/4/24),2024-07-16 14:26:29.343954,2024-07-16 14:26:29.343954
a9064d6c-12ac-40e6-90fd-02e511635218,36ca8cc1-ff65-4d03-b744-cc7e93b2d23e,dyslexic completion of 8/9 version,2024-08-11 12:01:17.426882,2024-08-11 12:01:17.426882
c8198d05-f360-45d0-ba96-6bd49d46bd7f,ac5977a5-d8ce-4b8d-af4c-549527b9e959,with 'Superman' theme (John Williams) tease,2024-08-11 12:01:36.453498,2024-08-11 12:01:36.453498
fb3ad432-125a-4a40-afce-fa77bd5ae95e,a4ee6c46-94c7-4619-82a5-73ef0378d913,FTP (as tDB; played as Tractorbeam 7/4/24),2024-07-16 16:20:40.448531,2024-07-16 16:20:40.448531
32da33ab-7a83-4fcc-8043-6d1dbccb5ddf,a4ee6c46-94c7-4619-82a5-73ef0378d913,with ‘Gamma Goblins’ (Hallucinogen) tease,2024-07-16 16:20:40.473404,2024-07-16 16:20:40.473404
ebb6d185-f9eb-4519-9ff2-ef51a40d9d69,bc437302-c4a0-4a6c-af87-ca8d4a6d82ec,FTP (as tDB; played as Tractorbeam 7/4/24),2024-07-16 16:21:29.285204,2024-07-16 16:21:29.285204
c327a7d4-74c0-4677-8631-bc12bfcdfd2c,c2ceaa2c-a8f1-494d-8501-9586e58c951e,FTP (with Lyrics; based on 4/14/24 ‘Save the Robots’ Jam),2024-07-16 16:22:15.231205,2024-07-16 16:22:15.231205
43498480-d9f3-4226-98b9-2d7321ce47de,d602b357-a338-43b4-851d-84f4203b28fc,with ‘I Kissed A Girl’ (Katy Perry) jam,2024-07-16 17:23:59.355702,2024-07-16 17:23:59.355702
44b23bb5-f214-4dbf-804c-14d6fbeee804,d602b357-a338-43b4-851d-84f4203b28fc,with Magner on vocoder,2024-07-16 17:23:59.377706,2024-07-16 17:23:59.377706
7ab63354-4184-4aa6-bee9-f19c58afd41c,71ab0d2e-18ec-4deb-a25b-6edafb842132,with ‘Houdini’ (Eminem) samples,2024-07-16 18:25:24.390936,2024-07-16 18:25:24.390936
54cfb7cf-1e03-453c-8efe-eb6bc37600dc,145af5df-94f8-4ca9-9c29-1103a60ff0c4,ending only,2024-07-17 02:27:23.921206,2024-07-17 02:27:23.921206
b62248c5-8ea8-478d-a0e5-a5ca05475974,46340961-b248-442a-918a-0498486c0710,ending only,2024-07-17 02:28:01.223618,2024-07-17 02:28:01.223618
a74bb6c9-29fb-44ed-82ab-3da7494cda22,931adec0-fb24-4d7a-a943-49e8a16ed8d2,ending only,2024-07-17 02:30:05.699574,2024-07-17 02:30:05.699574
c972fed9-63d6-4ba3-83af-f6a96d62a5d3,d81d44c9-4ef3-48c0-ad15-7a1f84e6bc99,inverted,2024-07-17 02:31:18.556684,2024-07-17 02:31:18.556684
516631de-7093-40e5-927d-80702a56c255,d81d44c9-4ef3-48c0-ad15-7a1f84e6bc99,last time inverted 5/27/2005 (658 shows),2024-07-17 02:31:18.610514,2024-07-17 02:31:18.610514
98a99fb2-dcc8-4b8d-b3dc-0be378a3fb89,c8c6a2da-ad68-4810-803f-6fd9b2eb2bbb,ending only,2024-07-17 02:46:06.785528,2024-07-17 02:46:06.785528
12bd1e65-8f9f-430c-b078-31bbc069e157,4ceda522-3d70-4b55-8ff1-6ac4817540cf,ending only,2024-07-17 02:51:27.275138,2024-07-17 02:51:27.275138
b785698c-e301-46b5-a419-eef7c0c579f3,6b9d3885-d376-4d00-a314-d70410aedffd,ending only,2024-07-17 02:52:21.431658,2024-07-17 02:52:21.431658
85ec73bb-c83c-4bd8-85d6-7042d6538348,2939a72f-1204-4ba3-bddc-2f0c567765e3,ending only,2024-07-17 02:52:29.236789,2024-07-17 02:52:29.236789
0f678995-cb15-4a64-a826-ac6a1da00355,4d7473f2-59a6-4ed4-ba12-b40ec8f00dd4,with 'Cleaning Out The Closet' (Eminem) tease,2024-07-17 02:52:42.998120,2024-07-17 02:52:42.998120
6e7bcd53-7a7a-401d-802f-f909069981c8,c3769703-fdbc-4105-bb4b-3753f245ab30,with ‘Spacebirdmatingcall’ tease,2024-07-17 05:50:50.933227,2024-07-17 05:50:50.933227
d4f9ee56-4099-48b6-903f-e959abd5efdc,e9b032c1-ce54-4611-bfe4-228760944dbb,middle section only,2024-07-17 05:52:22.132713,2024-07-17 05:52:22.132713
c63e37a1-f3ec-478d-aa1e-4348f3fa2edf,e9b032c1-ce54-4611-bfe4-228760944dbb,with '7-11' vocal tease,2024-07-17 05:52:22.156934,2024-07-17 05:52:22.156934
798de0f5-7e77-4506-bf75-935da79f61b0,e9b032c1-ce54-4611-bfe4-228760944dbb,with 'Reactor' + 'Munchkin Invasion' teases,2024-07-17 05:52:22.178838,2024-07-17 05:52:22.178838
a04b4059-1405-44c8-aa33-16e05f8e6521,3a4eba2a-8b2f-4502-a679-0cd22680b7e5,ending only,2024-07-17 05:52:43.183736,2024-07-17 05:52:43.183736
df74502a-0417-46d4-8792-4f455f4920d7,3a4eba2a-8b2f-4502-a679-0cd22680b7e5,dyslexic completion on 4/26,2024-07-17 05:52:43.291199,2024-07-17 05:52:43.291199
b184898c-dc38-4885-9b66-c3a92c491c02,68df87ef-f109-439b-b915-91c0e6a7cd27,"dyslexic version (ending first, then beginning)",2024-07-17 05:53:05.056124,2024-07-17 05:53:05.056124
d539a557-407d-4911-ab9a-5c338ed3902c,68df87ef-f109-439b-b915-91c0e6a7cd27,with 'Spectacle' tease,2024-07-17 05:53:05.071205,2024-07-17 05:53:05.071205
f8901f4c-0e1f-4cf5-8671-2e5e7b14d205,ee3fce63-d47e-4735-872a-36cec572e0db,ending only,2024-07-17 05:53:18.420816,2024-07-17 05:53:18.420816
bb145261-1929-409d-8eec-b373a15cf41b,98459fbe-ce5b-4c35-8213-9a63949fef21,with Jordan Crisman (dressed in gorilla suit) on bass for part of jam,2024-07-17 05:53:48.546333,2024-07-17 05:53:48.546333
db3db92a-601c-44d7-abdf-4dcaab3efb38,98459fbe-ce5b-4c35-8213-9a63949fef21,with 'Spacebirdmatingcall' tease,2024-07-17 05:53:48.564141,2024-07-17 05:53:48.564141
47e21cc5-1f7d-4284-94a8-21175751b4a0,87c595b1-c330-4b6c-a89a-fb259f78fe92,"dyslexic version (ending first, then beginning)",2024-07-17 05:54:07.011552,2024-07-17 05:54:07.011552
49cba073-4e0b-466f-8e66-5316f99500e5,6b8fafbd-2d8b-417e-a304-9783f3fdc3f3,with ‘Basis For A Day’ + ‘Helicopters’ teases,2024-07-17 05:56:00.368619,2024-07-17 05:56:00.368619
c9226f8f-5997-4f1b-8c19-73c9003f198a,c8f232b2-702b-4d3d-9cf2-4c0c31bc4443,ending only,2024-07-17 05:57:08.380715,2024-07-17 05:57:08.380715
1fc1f719-0576-4815-9548-7ba75c535f63,6cfbd990-ca4d-49e0-b4a3-4889761728c8,"dyslexic version (ending first, then beginning)",2024-07-17 05:57:20.649330,2024-07-17 05:57:20.649330
45e417e3-6dc2-4828-8131-88fbf9ac22a7,ca7375fa-db91-400b-b9cb-ab1d99449698,"dyslexic version (ending first, then beginning)",2024-07-17 05:57:40.922817,2024-07-17 05:57:40.922817
eaf35b44-1f50-404a-ae92-e12becaed988,36f26a3c-4520-4b10-a6c7-3ef4131a0e42,with Steve Molitz (Particle) on keyboards,2024-07-17 05:58:05.199113,2024-07-17 05:58:05.199113
0f27ed77-a329-4905-90d5-899e0353c5af,9b889b94-b68b-4812-b5a8-f5bafc5b2d19,ending only,2024-07-17 05:58:17.141139,2024-07-17 05:58:17.141139
1f96c1ec-fbd8-4b5a-a687-ca49ecdc3b0f,27d77a87-ac3a-45cf-b83d-f0030503a52f,ending only,2024-07-17 05:59:51.989378,2024-07-17 05:59:51.989378
0785f2b1-e350-4fea-b697-c3bee1c14cca,05114823-c95e-4562-bfff-02d31a3d8349,"dyslexic version (ending first, then beginning)",2024-07-17 06:00:06.049422,2024-07-17 06:00:06.049422
